Site ID,Site name,Relates to individual placed at non-funded non-licensed OPR?,SOR ID,Confidential private SOR,Status,SOR Initiator,Date of Serious Occurrence,Time of Serious Occurrence,Date of Report Submission,Time of Report Submission,Last Update Date,Last Update Time,Update Due Date,Revision Due Date,SOR Level,Media attention,# of individuals,# of unique non-client individuals (associated to specific COVID 19 SORs),# of unique categories,Categories
SYN-SITE-02,Synthetic Site B,N,SYN-E00157,,Closed,,2026-02-04,01:00:00,2026-02-07,02:00:00,2026-02-07,02:00:00,,,2,N,2,0,3,
SYN-SITE-05,Synthetic Site E,N,SYN-E00158,,Closed,,2026-02-07,00:15:00,2026-02-07,01:15:00,2026-02-07,01:15:00,,,2,N,2,0,3,
SYN-SITE-01,Synthetic Site A,N,SYN-E00159,,Open,,2026-02-24,14:15:00,2026-02-25,15:15:00,2026-02-25,15:15:00,,,2,N,3,0,4,
SYN-SITE-04,Synthetic Site D,N,SYN-E00160,,Closed,,2026-02-04,18:45:00,2026-02-04,19:45:00,2026-02-08,19:45:00,,,2,N,3,0,4,
SYN-SITE-04,Synthetic Site D,N,SYN-E00161,,Closed,,2026-02-04,06:30:00,2026-02-07,07:30:00,2026-02-11,07:30:00,,,1,N,0,0,0,
SYN-SITE-03,Synthetic Site C,N,SYN-E00162,,Closed,,2026-02-10,11:15:00,2026-02-12,12:15:00,2026-02-13,12:15:00,,,2,N,2,0,3,
SYN-SITE-01,Synthetic Site A,N,SYN-E00163,,Closed,,2026-02-15,15:15:00,2026-02-15,16:15:00,2026-02-18,16:15:00,,,1,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00164,,Closed,,2026-02-12,14:15:00,2026-02-12,15:15:00,2026-02-14,15:15:00,,,2,N,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00165,,Open,,2026-02-13,04:15:00,2026-02-13,05:15:00,2026-02-14,05:15:00,,,1,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00166,,Closed,,2026-02-16,15:00:00,2026-02-19,16:00:00,2026-02-21,16:00:00,,,1,N,3,0,4,
SYN-SITE-01,Synthetic Site A,N,SYN-E00167,,Closed,,2026-02-28,08:30:00,2026-03-02,09:30:00,2026-03-05,09:30:00,,,1,N,1,0,2,
SYN-SITE-02,Synthetic Site B,N,SYN-E00168,,Closed,,2026-02-16,07:00:00,2026-02-18,08:00:00,2026-02-20,08:00:00,,,2,N,3,0,4,
SYN-SITE-01,Synthetic Site A,N,SYN-E00169,,Closed,,2026-02-15,13:15:00,2026-02-15,14:15:00,2026-02-15,14:15:00,,,2,N,2,0,3,
SYN-SITE-04,Synthetic Site D,N,SYN-E00170,,Under Review,,2026-02-19,15:15:00,2026-02-22,16:15:00,2026-02-24,16:15:00,,,1,N,1,0,1,
SYN-SITE-04,Synthetic Site D,N,SYN-E00171,,Closed,,2026-02-11,05:45:00,2026-02-12,06:45:00,2026-02-16,06:45:00,,,1,N,3,0,4,
SYN-SITE-05,Synthetic Site E,N,SYN-E00172,,Open,,2026-02-12,15:45:00,2026-02-13,16:45:00,2026-02-16,16:45:00,,,2,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00173,,Closed,,2026-02-16,02:45:00,2026-02-18,03:45:00,2026-02-18,03:45:00,,,2,N,2,0,3,
SYN-SITE-03,Synthetic Site C,N,SYN-E00174,,Open,,2026-02-03,20:45:00,2026-02-05,21:45:00,2026-02-06,21:45:00,,,1,N,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00175,,Closed,,2026-02-21,07:00:00,2026-02-21,08:00:00,2026-02-24,08:00:00,,,2,N,1,0,2,
SYN-SITE-06,Synthetic Site F,N,SYN-E00176,,Closed,,2026-02-07,07:15:00,2026-02-07,08:15:00,2026-02-10,08:15:00,,,2,N,3,0,4,
SYN-SITE-01,Synthetic Site A,N,SYN-E00177,,Under Review,,2026-02-08,07:00:00,2026-02-09,08:00:00,2026-02-13,08:00:00,,,1,Y,2,0,3,
SYN-SITE-01,Synthetic Site A,N,SYN-E00178,,Open,,2026-02-17,15:30:00,2026-02-18,16:30:00,2026-02-20,16:30:00,,,1,N,1,0,2,
SYN-SITE-04,Synthetic Site D,N,SYN-E00179,,Closed,,2026-02-05,09:15:00,2026-02-06,10:15:00,2026-02-06,10:15:00,,,1,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00180,,Open,,2026-02-11,04:15:00,2026-02-12,05:15:00,2026-02-15,05:15:00,,,2,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00181,,Closed,,2026-02-25,07:45:00,2026-02-27,08:45:00,2026-03-01,08:45:00,,,2,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00182,,Closed,,2026-02-13,17:45:00,2026-02-15,18:45:00,2026-02-18,18:45:00,,,2,Y,2,0,3,
SYN-SITE-01,Synthetic Site A,N,SYN-E00183,,Closed,,2026-02-09,18:00:00,2026-02-10,19:00:00,2026-02-14,19:00:00,,,1,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00184,,Closed,,2026-02-24,12:45:00,2026-02-24,13:45:00,2026-02-26,13:45:00,,,1,N,0,0,0,
SYN-SITE-06,Synthetic Site F,N,SYN-E00185,,Under Review,,2026-02-20,18:00:00,2026-02-27,19:00:00,2026-03-01,19:00:00,,,2,N,2,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00186,,Closed,,2026-02-25,02:30:00,2026-02-26,03:30:00,2026-02-26,03:30:00,,,1,N,3,0,4,
SYN-SITE-01,Synthetic Site A,N,SYN-E00187,,Under Review,,2026-02-28,01:15:00,2026-03-03,02:15:00,2026-03-06,02:15:00,,,2,N,1,0,2,
SYN-SITE-04,Synthetic Site D,N,SYN-E00188,,Closed,,2026-02-26,02:45:00,2026-02-27,03:45:00,2026-03-02,03:45:00,,,1,N,2,0,3,
SYN-SITE-02,Synthetic Site B,N,SYN-E00189,,Under Review,,2026-03-04,11:15:00,2026-03-04,12:15:00,2026-03-05,12:15:00,,,2,N,1,0,2,
SYN-SITE-02,Synthetic Site B,N,SYN-E00190,,Under Review,,2026-03-20,11:30:00,2026-03-20,12:30:00,2026-03-24,12:30:00,,,1,N,1,0,1,
SYN-SITE-03,Synthetic Site C,N,SYN-E00191,,Closed,,2026-03-13,18:15:00,2026-03-18,19:15:00,2026-03-18,19:15:00,,,1,N,1,0,2,
SYN-SITE-02,Synthetic Site B,N,SYN-E00192,,Open,,2026-03-08,09:45:00,2026-03-10,10:45:00,2026-03-11,10:45:00,,,1,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00193,,Closed,,2026-03-26,15:45:00,2026-03-27,16:45:00,2026-03-30,16:45:00,,,1,N,3,0,4,
SYN-SITE-01,Synthetic Site A,N,SYN-E00194,,Closed,,2026-03-24,01:00:00,2026-03-25,02:00:00,2026-03-26,02:00:00,,,1,N,1,0,1,
SYN-SITE-05,Synthetic Site E,N,SYN-E00195,,Open,,2026-03-14,11:00:00,2026-03-15,12:00:00,2026-03-17,12:00:00,,,1,N,1,0,1,
SYN-SITE-01,Synthetic Site A,N,SYN-E00196,,Open,,2026-03-16,13:45:00,2026-03-18,14:45:00,2026-03-19,14:45:00,,,1,N,2,0,3,
SYN-SITE-04,Synthetic Site D,N,SYN-E00197,,Under Review,,2026-03-22,06:15:00,2026-03-23,07:15:00,2026-03-23,07:15:00,,,1,N,1,0,1,
SYN-SITE-05,Synthetic Site E,N,SYN-E00198,,Open,,2026-03-30,19:45:00,2026-04-04,20:45:00,2026-04-05,20:45:00,,,1,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00199,,Under Review,,2026-03-29,14:15:00,2026-03-29,15:15:00,2026-03-31,15:15:00,,,2,N,3,0,4,
SYN-SITE-01,Synthetic Site A,N,SYN-E00200,,Closed,,2026-03-12,08:00:00,2026-03-15,09:00:00,2026-03-19,09:00:00,,,1,N,2,0,3,
SYN-SITE-03,Synthetic Site C,N,SYN-E00201,,Closed,,2026-03-08,02:00:00,2026-03-08,03:00:00,2026-03-08,03:00:00,,,1,N,2,0,3,
SYN-SITE-03,Synthetic Site C,N,SYN-E00202,,Open,,2026-03-17,04:15:00,2026-03-18,05:15:00,2026-03-20,05:15:00,,,1,Y,1,0,1,
SYN-SITE-05,Synthetic Site E,N,SYN-E00203,,Under Review,,2026-03-04,07:45:00,2026-03-09,08:45:00,2026-03-09,08:45:00,,,2,Y,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00204,,Under Review,,2026-03-10,00:15:00,2026-03-12,01:15:00,2026-03-13,01:15:00,,,2,N,3,0,4,
SYN-SITE-04,Synthetic Site D,N,SYN-E00205,,Closed,,2026-03-28,16:45:00,2026-03-31,17:45:00,2026-04-04,17:45:00,,,1,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00206,,Closed,,2026-03-31,02:30:00,2026-03-31,03:30:00,2026-03-31,03:30:00,,,1,N,2,0,3,
SYN-SITE-02,Synthetic Site B,N,SYN-E00207,,Open,,2026-03-16,07:45:00,2026-03-19,08:45:00,2026-03-23,08:45:00,,,2,N,0,0,0,
SYN-SITE-01,Synthetic Site A,N,SYN-E00208,,Closed,,2026-03-31,00:15:00,2026-03-31,01:15:00,2026-04-03,01:15:00,,,1,Y,1,0,1,
SYN-SITE-01,Synthetic Site A,N,SYN-E00209,,Closed,,2026-03-05,06:00:00,2026-03-06,07:00:00,2026-03-08,07:00:00,,,2,N,3,0,4,
SYN-SITE-02,Synthetic Site B,N,SYN-E00210,,Closed,,2026-03-23,17:30:00,2026-03-23,18:30:00,2026-03-23,18:30:00,,,2,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00211,,Closed,,2026-03-19,08:15:00,2026-03-19,09:15:00,2026-03-22,09:15:00,,,2,N,1,0,2,
SYN-SITE-04,Synthetic Site D,N,SYN-E00212,,Closed,,2026-03-25,16:45:00,2026-03-26,17:45:00,2026-03-29,17:45:00,,,2,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00213,,Open,,2026-03-10,03:30:00,2026-03-11,04:30:00,2026-03-11,04:30:00,,,1,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00214,,Closed,,2026-03-22,04:00:00,2026-03-22,05:00:00,2026-03-23,05:00:00,,,2,N,1,0,1,
SYN-SITE-04,Synthetic Site D,N,SYN-E00215,,Open,,2026-03-09,18:00:00,2026-03-09,19:00:00,2026-03-10,19:00:00,,,1,N,1,0,1,
SYN-SITE-04,Synthetic Site D,N,SYN-E00216,,Open,,2026-03-20,10:15:00,2026-03-22,11:15:00,2026-03-22,11:15:00,,,1,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00217,,Open,,2026-03-15,08:00:00,2026-03-17,09:00:00,2026-03-17,09:00:00,,,2,Y,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00218,,Closed,,2026-03-04,15:15:00,2026-03-04,16:15:00,2026-03-04,16:15:00,,,1,N,3,0,4,
SYN-SITE-02,Synthetic Site B,N,SYN-E00219,,Closed,,2026-03-29,17:30:00,2026-03-30,18:30:00,2026-03-31,18:30:00,,,2,N,1,0,2,
SYN-SITE-02,Synthetic Site B,N,SYN-E00220,,Under Review,,2026-03-11,17:45:00,2026-03-11,18:45:00,2026-03-13,18:45:00,,,1,N,2,0,3,
SYN-SITE-02,Synthetic Site B,N,SYN-E00221,,Open,,2026-03-30,03:45:00,2026-04-06,04:45:00,2026-04-07,04:45:00,,,2,N,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00222,,Closed,,2026-03-10,12:00:00,2026-03-10,13:00:00,2026-03-10,13:00:00,,,1,N,1,0,1,
SYN-SITE-06,Synthetic Site F,N,SYN-E00223,,Closed,,2026-03-11,10:45:00,2026-03-11,11:45:00,2026-03-15,11:45:00,,,2,N,1,0,1,
SYN-SITE-03,Synthetic Site C,N,SYN-E00224,,Closed,,2026-03-15,19:45:00,2026-03-15,20:45:00,2026-03-15,20:45:00,,,1,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00225,,Under Review,,2026-03-27,02:45:00,2026-03-29,03:45:00,2026-04-01,03:45:00,,,1,N,1,0,1,
SYN-SITE-05,Synthetic Site E,N,SYN-E00226,,Closed,,2026-03-29,11:45:00,2026-03-31,12:45:00,2026-04-02,12:45:00,,,1,N,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00227,,Closed,,2026-03-14,13:00:00,2026-03-14,14:00:00,2026-03-16,14:00:00,,,2,N,1,0,2,
SYN-SITE-02,Synthetic Site B,N,SYN-E00228,,Closed,,2026-03-15,16:45:00,2026-03-15,17:45:00,2026-03-19,17:45:00,,,1,N,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00229,,Closed,,2026-03-13,08:00:00,2026-03-14,09:00:00,2026-03-14,09:00:00,,,2,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00230,,Closed,,2026-03-26,04:00:00,2026-03-26,05:00:00,2026-03-28,05:00:00,,,1,N,0,0,0,
SYN-SITE-01,Synthetic Site A,N,SYN-E00231,,Closed,,2026-04-22,13:45:00,2026-04-23,14:45:00,2026-04-23,14:45:00,,,2,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00232,,Under Review,,2026-04-12,02:15:00,2026-04-12,03:15:00,2026-04-13,03:15:00,,,1,N,1,0,1,
SYN-SITE-04,Synthetic Site D,N,SYN-E00233,,Closed,,2026-04-25,10:45:00,2026-04-28,11:45:00,2026-05-01,11:45:00,,,2,N,1,0,1,
SYN-SITE-04,Synthetic Site D,N,SYN-E00234,,Closed,,2026-04-02,08:45:00,2026-04-07,09:45:00,2026-04-07,09:45:00,,,2,N,1,0,2,
SYN-SITE-02,Synthetic Site B,N,SYN-E00235,,Closed,,2026-04-04,01:45:00,2026-04-06,02:45:00,2026-04-10,02:45:00,,,2,Y,1,0,1,
SYN-SITE-03,Synthetic Site C,N,SYN-E00236,,Under Review,,2026-04-01,00:30:00,2026-04-01,01:30:00,2026-04-04,01:30:00,,,2,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00237,,Under Review,,2026-04-01,06:00:00,2026-04-04,07:00:00,2026-04-04,07:00:00,,,1,N,1,0,2,
SYN-SITE-06,Synthetic Site F,N,SYN-E00238,,Open,,2026-04-26,07:30:00,2026-04-28,08:30:00,2026-04-29,08:30:00,,,2,N,2,0,3,
SYN-SITE-04,Synthetic Site D,N,SYN-E00239,,Open,,2026-04-27,01:15:00,2026-04-28,02:15:00,2026-04-28,02:15:00,,,1,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00240,,Closed,,2026-04-17,19:45:00,2026-04-22,20:45:00,2026-04-23,20:45:00,,,1,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00241,,Closed,,2026-04-06,00:45:00,2026-04-06,01:45:00,2026-04-07,01:45:00,,,1,N,1,0,1,
SYN-SITE-01,Synthetic Site A,N,SYN-E00242,,Closed,,2026-04-30,17:15:00,2026-04-30,18:15:00,2026-05-03,18:15:00,,,1,Y,2,0,3,
SYN-SITE-05,Synthetic Site E,N,SYN-E00243,,Under Review,,2026-04-02,09:45:00,2026-04-02,10:45:00,2026-04-02,10:45:00,,,2,N,2,0,3,
SYN-SITE-04,Synthetic Site D,N,SYN-E00244,,Closed,,2026-04-20,06:30:00,2026-04-20,07:30:00,2026-04-21,07:30:00,,,2,N,2,0,3,
SYN-SITE-03,Synthetic Site C,N,SYN-E00245,,Closed,,2026-04-07,18:00:00,2026-04-08,19:00:00,2026-04-08,19:00:00,,,1,Y,2,0,3,
SYN-SITE-01,Synthetic Site A,N,SYN-E00246,,Closed,,2026-04-11,04:00:00,2026-04-11,05:00:00,2026-04-13,05:00:00,,,2,N,1,0,1,
SYN-SITE-04,Synthetic Site D,N,SYN-E00247,,Open,,2026-04-09,18:45:00,2026-04-14,19:45:00,2026-04-18,19:45:00,,,2,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00248,,Closed,,2026-04-16,13:30:00,2026-04-16,14:30:00,2026-04-18,14:30:00,,,1,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00249,,Closed,,2026-04-14,16:45:00,2026-04-15,17:45:00,2026-04-15,17:45:00,,,1,N,3,0,4,
SYN-SITE-02,Synthetic Site B,N,SYN-E00250,,Closed,,2026-04-11,15:30:00,2026-04-16,16:30:00,2026-04-19,16:30:00,,,1,N,1,0,1,
SYN-SITE-03,Synthetic Site C,N,SYN-E00251,,Closed,,2026-04-09,08:15:00,2026-04-12,09:15:00,2026-04-14,09:15:00,,,2,Y,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00252,,Closed,,2026-04-11,19:30:00,2026-04-11,20:30:00,2026-04-14,20:30:00,,,2,N,2,0,3,
SYN-SITE-01,Synthetic Site A,N,SYN-E00253,,Closed,,2026-04-18,04:15:00,2026-04-18,05:15:00,2026-04-21,05:15:00,,,2,N,0,0,0,
SYN-SITE-02,Synthetic Site B,N,SYN-E00254,,Closed,,2026-04-29,19:45:00,2026-04-30,20:45:00,2026-04-30,20:45:00,,,2,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00255,,Closed,,2026-04-04,08:30:00,2026-04-04,09:30:00,2026-04-04,09:30:00,,,1,N,2,0,3,
SYN-SITE-01,Synthetic Site A,N,SYN-E00256,,Closed,,2026-04-17,08:45:00,2026-04-17,09:45:00,2026-04-18,09:45:00,,,2,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00257,,Closed,,2026-04-05,05:00:00,2026-04-07,06:00:00,2026-04-07,06:00:00,,,2,N,2,0,3,
SYN-SITE-03,Synthetic Site C,N,SYN-E00258,,Closed,,2026-04-17,09:45:00,2026-04-17,10:45:00,2026-04-20,10:45:00,,,1,N,2,0,3,
SYN-SITE-01,Synthetic Site A,N,SYN-E00259,,Open,,2026-04-23,13:30:00,2026-04-24,14:30:00,2026-04-28,14:30:00,,,1,N,3,0,3,
SYN-SITE-02,Synthetic Site B,N,SYN-E00260,,Closed,,2026-04-26,06:15:00,2026-04-26,07:15:00,2026-04-27,07:15:00,,,2,N,1,0,1,
SYN-SITE-06,Synthetic Site F,N,SYN-E00261,,Closed,,2026-04-25,18:30:00,2026-04-25,19:30:00,2026-04-28,19:30:00,,,1,Y,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00262,,Closed,,2026-04-01,09:30:00,2026-04-01,10:30:00,2026-04-01,10:30:00,,,1,Y,2,0,3,
SYN-SITE-05,Synthetic Site E,N,SYN-E00263,,Open,,2026-04-07,20:45:00,2026-04-07,21:45:00,2026-04-08,21:45:00,,,2,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00264,,Open,,2026-04-02,02:30:00,2026-04-03,03:30:00,2026-04-07,03:30:00,,,2,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00265,,Closed,,2026-04-16,13:45:00,2026-04-16,14:45:00,2026-04-19,14:45:00,,,2,Y,1,0,2,
SYN-SITE-02,Synthetic Site B,N,SYN-E00266,,Under Review,,2026-04-18,04:30:00,2026-04-23,05:30:00,2026-04-25,05:30:00,,,1,N,2,0,3,
SYN-SITE-03,Synthetic Site C,N,SYN-E00267,,Closed,,2026-05-19,14:30:00,2026-05-19,15:30:00,2026-05-20,15:30:00,,,1,N,1,0,1,
SYN-SITE-04,Synthetic Site D,N,SYN-E00268,,Closed,,2026-05-27,10:00:00,2026-05-27,11:00:00,2026-05-30,11:00:00,,,1,N,1,0,2,
SYN-SITE-06,Synthetic Site F,N,SYN-E00269,,Under Review,,2026-05-02,01:45:00,2026-05-02,02:45:00,2026-05-02,02:45:00,,,1,N,1,0,2,
SYN-SITE-02,Synthetic Site B,N,SYN-E00270,,Under Review,,2026-05-10,02:30:00,2026-05-10,03:30:00,2026-05-11,03:30:00,,,2,N,3,0,4,
SYN-SITE-05,Synthetic Site E,N,SYN-E00271,,Open,,2026-05-05,13:30:00,2026-05-06,14:30:00,2026-05-08,14:30:00,,,2,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00272,,Closed,,2026-05-01,08:30:00,2026-05-02,09:30:00,2026-05-05,09:30:00,,,2,N,3,0,4,
SYN-SITE-02,Synthetic Site B,N,SYN-E00273,,Under Review,,2026-05-23,18:30:00,2026-05-28,19:30:00,2026-06-01,19:30:00,,,2,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00274,,Open,,2026-05-23,14:30:00,2026-05-23,15:30:00,2026-05-25,15:30:00,,,1,N,1,0,1,
SYN-SITE-06,Synthetic Site F,N,SYN-E00275,,Closed,,2026-05-22,16:00:00,2026-05-23,17:00:00,2026-05-27,17:00:00,,,2,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00276,,Open,,2026-05-13,06:15:00,2026-05-13,07:15:00,2026-05-17,07:15:00,,,2,Y,0,0,0,
SYN-SITE-03,Synthetic Site C,N,SYN-E00277,,Under Review,,2026-05-08,01:15:00,2026-05-15,02:15:00,2026-05-19,02:15:00,,,1,N,1,0,2,
SYN-SITE-02,Synthetic Site B,N,SYN-E00278,,Under Review,,2026-05-09,13:00:00,2026-05-09,14:00:00,2026-05-09,14:00:00,,,1,N,1,0,2,
SYN-SITE-06,Synthetic Site F,N,SYN-E00279,,Closed,,2026-05-03,02:00:00,2026-05-05,03:00:00,2026-05-06,03:00:00,,,1,N,1,0,2,
SYN-SITE-02,Synthetic Site B,N,SYN-E00280,,Closed,,2026-05-13,09:45:00,2026-05-16,10:45:00,2026-05-18,10:45:00,,,2,N,1,0,1,
SYN-SITE-03,Synthetic Site C,N,SYN-E00281,,Closed,,2026-05-04,04:45:00,2026-05-05,05:45:00,2026-05-09,05:45:00,,,2,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00282,,Closed,,2026-05-26,02:30:00,2026-05-27,03:30:00,2026-05-31,03:30:00,,,1,N,2,0,3,
SYN-SITE-03,Synthetic Site C,N,SYN-E00283,,Closed,,2026-05-29,13:45:00,2026-05-31,14:45:00,2026-06-02,14:45:00,,,1,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00284,,Closed,,2026-05-15,17:00:00,2026-05-15,18:00:00,2026-05-15,18:00:00,,,2,Y,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00285,,Under Review,,2026-05-05,13:30:00,2026-05-05,14:30:00,2026-05-06,14:30:00,,,1,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00286,,Closed,,2026-05-16,05:15:00,2026-05-17,06:15:00,2026-05-20,06:15:00,,,1,N,3,0,4,
SYN-SITE-06,Synthetic Site F,N,SYN-E00287,,Closed,,2026-05-05,00:30:00,2026-05-06,01:30:00,2026-05-06,01:30:00,,,1,Y,1,0,2,
SYN-SITE-02,Synthetic Site B,N,SYN-E00288,,Under Review,,2026-05-07,01:45:00,2026-05-08,02:45:00,2026-05-11,02:45:00,,,1,N,1,0,2,
SYN-SITE-04,Synthetic Site D,N,SYN-E00289,,Closed,,2026-05-21,00:00:00,2026-05-23,01:00:00,2026-05-25,01:00:00,,,1,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00290,,Closed,,2026-05-06,01:15:00,2026-05-06,02:15:00,2026-05-07,02:15:00,,,1,N,1,0,2,
SYN-SITE-06,Synthetic Site F,N,SYN-E00291,,Open,,2026-05-23,13:00:00,2026-05-23,14:00:00,2026-05-25,14:00:00,,,2,N,1,0,1,
SYN-SITE-05,Synthetic Site E,N,SYN-E00292,,Closed,,2026-05-31,12:00:00,2026-05-31,13:00:00,2026-06-01,13:00:00,,,2,N,2,0,4,
SYN-SITE-01,Synthetic Site A,N,SYN-E00293,,Open,,2026-05-13,03:30:00,2026-05-13,04:30:00,2026-05-13,04:30:00,,,1,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00294,,Closed,,2026-05-02,06:00:00,2026-05-02,07:00:00,2026-05-05,07:00:00,,,1,N,1,0,2,
SYN-SITE-02,Synthetic Site B,N,SYN-E00295,,Closed,,2026-05-02,13:15:00,2026-05-04,14:15:00,2026-05-07,14:15:00,,,1,N,2,0,3,
SYN-SITE-04,Synthetic Site D,N,SYN-E00296,,Open,,2026-05-31,17:15:00,2026-05-31,18:15:00,2026-06-02,18:15:00,,,1,N,2,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00297,,Closed,,2026-05-30,06:30:00,2026-06-01,07:30:00,2026-06-03,07:30:00,,,1,Y,1,0,2,
SYN-SITE-02,Synthetic Site B,N,SYN-E00298,,Closed,,2026-05-11,19:45:00,2026-05-11,20:45:00,2026-05-13,20:45:00,,,2,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00299,,Closed,,2026-05-13,08:45:00,2026-05-13,09:45:00,2026-05-15,09:45:00,,,1,N,0,0,0,
SYN-SITE-03,Synthetic Site C,N,SYN-E00300,,Closed,,2026-05-02,15:45:00,2026-05-03,16:45:00,2026-05-06,16:45:00,,,2,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00301,,Under Review,,2026-05-05,18:45:00,2026-05-08,19:45:00,2026-05-09,19:45:00,,,1,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00302,,Under Review,,2026-05-20,00:30:00,2026-05-21,01:30:00,2026-05-21,01:30:00,,,2,N,2,0,3,
SYN-SITE-01,Synthetic Site A,N,SYN-E00303,,Closed,,2026-05-28,13:15:00,2026-05-28,14:15:00,2026-06-01,14:15:00,,,1,N,2,0,3,
SYN-SITE-01,Synthetic Site A,N,SYN-E00304,,Closed,,2026-05-06,10:15:00,2026-05-06,11:15:00,2026-05-10,11:15:00,,,1,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00305,,Open,,2026-05-01,04:15:00,2026-05-04,05:15:00,2026-05-06,05:15:00,,,1,N,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00306,,Open,,2026-05-16,00:30:00,2026-05-21,01:30:00,2026-05-24,01:30:00,,,1,Y,1,0,2,
SYN-SITE-04,Synthetic Site D,N,SYN-E00307,,Closed,,2026-05-21,16:15:00,2026-05-21,17:15:00,2026-05-23,17:15:00,,,1,N,3,0,4,
SYN-SITE-03,Synthetic Site C,N,SYN-E00308,,Open,,2026-05-15,15:30:00,2026-05-17,16:30:00,2026-05-17,16:30:00,,,1,N,2,0,3,
SYN-SITE-05,Synthetic Site E,N,SYN-E00309,,Closed,,2026-05-13,02:30:00,2026-05-15,03:30:00,2026-05-19,03:30:00,,,2,N,3,0,4,
SYN-SITE-05,Synthetic Site E,N,SYN-E00310,,Closed,,2026-05-17,01:45:00,2026-05-18,02:45:00,2026-05-19,02:45:00,,,1,Y,3,0,4,
SYN-SITE-01,Synthetic Site A,N,SYN-E00311,,Under Review,,2026-05-28,08:15:00,2026-05-29,09:15:00,2026-05-29,09:15:00,,,1,N,2,0,3,
SYN-SITE-03,Synthetic Site C,N,SYN-E00312,,Open,,2026-06-19,07:30:00,2026-06-21,08:30:00,2026-06-22,08:30:00,,,1,N,2,0,3,
SYN-SITE-01,Synthetic Site A,N,SYN-E00313,,Closed,,2026-06-03,19:15:00,2026-06-03,20:15:00,2026-06-06,20:15:00,,,1,N,3,0,4,
SYN-SITE-06,Synthetic Site F,N,SYN-E00314,,Closed,,2026-06-24,17:00:00,2026-06-26,18:00:00,2026-06-29,18:00:00,,,2,N,1,0,1,
